,Unnamed: 0,HOUR,ROUND,SPORT,NAME,BIRTH DATE,NAT.,PLACE,MARK
0,0,12:00:00,Final,Men's High Jump,Gianmarco TAMBERI,01 JUN 1992,ITA,1.0,2.36
1,1,12:02:00,Final,Men's High Jump,JuVaughn HARRISON,30 APR 1999,USA,2.0,2.36
2,2,12:04:00,Final,Men's High Jump,Mutaz Essa BARSHIM,24 JUN 1991,QAT,3.0,2.33
3,3,12:06:00,Final,Men's High Jump,Luis Enrique ZAYAS,07 JUN 1997,CUB,4.0,2.33
4,4,12:08:00,Final,Men's High Jump,Tobias POTYE,16 MAR 1995,GER,5.0,2.33
5,5,12:10:00,Final,Men's High Jump,Sanghyeok WOO,23 APR 1996,KOR,6.0,2.29
6,6,12:12:00,Final,Men's High Jump,Shelby MCEWEN,06 APR 1996,USA,7.0,2.29
7,7,12:14:00,Final,Men's High Jump,Brandon STARC,24 NOV 1993,AUS,8.0,2.25
8,8,12:16:00,Final,Men's High Jump,Ryoichi AKAMATSU,02 MAY 1995,JPN,8.0,2.25
9,9,12:18:00,Final,Men's High Jump,Norbert KOBIELSKI,28 JAN 1997,POL,10.0,2.25
10,10,12:20:00,Final,Men's High Jump,Andrii PROTSENKO,20 MAY 1988,UKR,11.0,2.25
11,11,12:22:00,Final,Men's High Jump,Marco FASSINOTTI,29 APR 1989,ITA,12.0,2.2
12,12,12:24:00,Final,Men's High Jump,Oleh DOROSHCHUK,04 JUL 2001,UKR,13.0,2.2
13,13,13:06:00,Final,Women's High Jump,Yaroslava MAHUCHIKH,19 SEP 2001,UKR,1.0,2.01
14,14,13:08:00,Final,Women's High Jump,Eleanor PATTERSON,22 MAY 1996,AUS,2.0,1.99
15,15,13:10:00,Final,Women's High Jump,Nicola OLYSLAGERS,28 DEC 1996,AUS,3.0,1.99
16,16,13:12:00,Final,Women's High Jump,Morgan LAKE,12 MAY 1997,GBR,4.0,1.97
17,17,13:14:00,Final,Women's High Jump,Iryna GERASHCHENKO,10 MAR 1995,UKR,5.0,1.94
18,18,13:16:00,Final,Women's High Jump,Lamara DISTIN,03 MAR 2000,JAM,5.0,1.94
19,19,13:18:00,Final,Women's High Jump,Angelina TOPIĆ,26 JUL 2005,SRB,7.0,1.94
20,20,13:20:00,Final,Women's High Jump,Christina HONSEL,07 JUL 1997,GER,8.0,1.94
21,21,13:22:00,Final,Women's High Jump,Nadezhda DUBOVITSKAYA,12 MAR 1998,KAZ,9.0,1.9
22,22,13:24:00,Final,Women's High Jump,Lia APOSTOLOVSKI,23 JUN 2000,SLO,9.0,1.9
23,23,13:26:00,Final,Women's High Jump,Vashti CUNNINGHAM,18 JAN 1998,USA,11.0,1.9
24,24,13:28:00,Final,Women's High Jump,Nawal MENIKER,09 DEC 1997,FRA,12.0,1.9
25,25,13:30:00,Final,Women's High Jump,Ella JUNNILA,06 DEC 1998,FIN,13.0,1.9
26,26,13:32:00,Final,Women's High Jump,Elena KULICHENKO,28 JUL 2002,CYP,13.0,1.9
27,27,13:34:00,Final,Women's High Jump,Solène GICQUEL,01 DEC 1994,FRA,15.0,1.85
28,28,15:00:00,Semifinal - Heat 1,Men's 200 Metres,Noah LYLES,18 JUL 1997,USA,1.0,19.76
29,29,15:00:00,Semifinal - Heat 1,Men's 200 Metres,Alexander OGANDO,03 MAY 2000,DOM,2.0,20.02
30,30,15:00:00,Semifinal - Heat 1,Men's 200 Metres,Tarsis Gracious OROGOT,24 NOV 2002,UGA,3.0,20.26
31,31,15:00:00,Semifinal - Heat 1,Men's 200 Metres,Brendon RODNEY,09 APR 1992,CAN,4.0,20.27
32,32,15:00:00,Semifinal - Heat 1,Men's 200 Metres,Andrew HUDSON,14 DEC 1996,JAM,5.0,20.38
33,33,15:00:00,Semifinal - Heat 1,Men's 200 Metres,Luxolo ADAMS,01 AUG 1996,RSA,6.0,20.44
34,34,15:00:00,Semifinal - Heat 1,Men's 200 Metres,Shota IIZUKA,25 JUN 1991,JPN,7.0,20.54
35,35,15:00:00,Semifinal - Heat 1,Men's 200 Metres,Ondřej MACÍK,12 JAN 2001,CZE,8.0,20.71
36,36,15:15:00,Semifinal - Heat 3,Men's 200 Metres,Erriyon KNIGHTON,29 JAN 2004,USA,1.0,19.98
37,37,15:15:00,Semifinal - Heat 3,Men's 200 Metres,Zharnel HUGHES,13 JUL 1995,GBR,2.0,20.02
38,38,15:15:00,Semifinal - Heat 3,Men's 200 Metres,Andre DE GRASSE,10 NOV 1994,CAN,3.0,20.1
39,39,15:15:00,Semifinal - Heat 3,Men's 200 Metres,Joseph FAHNBULLEH,11 SEP 2001,LBR,4.0,20.21
40,40,15:15:00,Semifinal - Heat 3,Men's 200 Metres,Towa UZAWA,25 NOV 2002,JPN,5.0,20.33
41,41,15:15:00,Semifinal - Heat 3,Men's 200 Metres,Rasheed DWYER,29 JAN 1989,JAM,6.0,20.49
42,42,15:15:00,Semifinal - Heat 3,Men's 200 Metres,Shaun MASWANGANYI,01 FEB 2001,RSA,7.0,20.65
43,43,15:15:00,Semifinal - Heat 3,Men's 200 Metres,William REAIS,04 MAY 1999,SUI,8.0,20.67
44,44,15:30:00,Semifinal - Heat 2,Men's 200 Metres,Kenneth BEDNAREK,14 OCT 1998,USA,1.0,19.96
45,45,15:30:00,Semifinal - Heat 2,Men's 200 Metres,Letsile TEBOGO,07 JUN 2003,BOT,2.0,19.97
46,46,15:30:00,Semifinal - Heat 2,Men's 200 Metres,Courtney LINDSEY,18 NOV 1998,USA,3.0,20.22
47,47,15:30:00,Semifinal - Heat 2,Men's 200 Metres,Sinesipho DAMBILE,02 MAR 2002,RSA,4.0,20.28
48,48,15:30:00,Semifinal - Heat 2,Men's 200 Metres,Renan CORREA,15 MAR 2004,BRA,5.0,20.43
49,49,15:30:00,Semifinal - Heat 2,Men's 200 Metres,Taymir BURNET,01 OCT 1992,NED,6.0,20.65
50,50,15:30:00,Semifinal - Heat 2,Men's 200 Metres,Alaba Olukunle AKINTOLA,14 SEP 2001,NGR,7.0,20.75
51,51,15:30:00,Semifinal - Heat 2,Men's 200 Metres,Aaron BROWN,27 MAY 1992,CAN,,DQ
